客户简称,消耗排名,清洗后商品名,消耗(万元),下单单价(元),合并原始条数,合并的原始DPA名称
橘朵,1,橘朵唇粉霜口红唇釉不沾杯不掉色淡人长期主义口红,23.84,79.08,1,[爆款推荐]橘朵唇粉霜口红唇釉不沾杯不掉色淡人长期主义口红
橘朵,2,橘朵粉管精华口红唇膏水光滋润淡纹持久裸色显白春夏新色,0.74,93.13,1,【品牌推荐】橘朵粉管精华口红唇膏水光滋润淡纹持久裸色显白春夏新色
橘朵,3,橘朵高光修容综合盘提亮遮瑕高颧骨轻熟裸感姐感妆容,0.55,60.97,1,[品牌推荐]橘朵高光修容综合盘提亮遮瑕高颧骨轻熟裸感姐感妆容
卡姿兰,1,卡姿兰雾吻口红第三代新升级显白显气质哑光M584芭乐色送人送礼大促特惠送对象,56.82,99.34,3,【拍1发2周年庆特批】卡姿兰雾吻口红第三代新升级显白显气质哑光M584芭乐色送人送礼大促特惠送对象ZB || 【周年庆特批买大送小】卡姿兰雾吻口红第三代新升级显白显气质哑光M584芭乐色送人送礼大促特惠送对象ZB || 【PINK限定上架】卡姿兰雾吻口红第三代新升级显白显气质哑光M584芭乐色送人送礼大促特惠ZB
卡姿兰,2,卡姿兰大眼睛睫毛膏持久新手卷翘不晕染不易脱妆,31.84,69.6,3,【冰感梳齿刷头】卡姿兰大眼睛睫毛膏持久新手卷翘不晕染不易脱妆ZB || 【郭碧婷推荐】卡姿兰大眼睛睫毛膏持久新手卷翘不晕染不易脱妆防水 || 【明星推荐】卡姿兰大眼睛睫毛膏持久新手卷翘不晕染不易脱妆防水
卡姿兰,3,卡姿兰雾吻口红第三代新升级哑光款M584清甜芭乐,25.43,99.23,2,【买大送小】卡姿兰雾吻口红第三代新升级哑光款M584清甜芭乐CB || 【拍1发3】卡姿兰雾吻口红第三代新升级哑光款M584清甜芭乐ZB
凯雅,1,KAIYA凯雅防水流畅眼线笔眼线液笔不脱色不易晕染,1.06,22.06,1,[试用不喜欢可退]KAIYA凯雅防水流畅眼线笔眼线液笔不脱色不易晕染
珂曼,1,珂曼精油变色润唇膏保湿补水温感唇膏淡纹,22.76,61.37,3,[七夕好礼]珂曼精油变色润唇膏保湿补水温感唇膏淡纹 || [全新包装]珂曼精油变色润唇膏保湿补水温感唇膏淡纹 || [全新升级6.0]珂曼精油变色润唇膏保湿补水温感唇膏淡纹
珂曼,2,珂曼生机裸感雾面哑光丝绒口红,2.68,71.77,1,[七夕好价]珂曼生机裸感雾面哑光丝绒口红
可复美,1,重组Ⅰ型α1亚型胶原蛋白冻干纤维,4.96,0,1,重组Ⅰ型α1亚型胶原蛋白冻干纤维
可复美,2,巨子生物可复美重组胶原蛋白肌御赋活修护精粹水120ml/瓶+肌御赋活修护精粹凝乳,3.34,317.72,2,[七夕送礼臻选-胶原水乳礼盒]巨子生物可复美重组胶原蛋白肌御赋活修护精粹水120ml/瓶+肌御赋活修护精粹凝乳80ml || [修护臻选-胶原水乳礼盒]巨子生物可复美重组胶原蛋白肌御赋活修护精粹水120ml/瓶+肌御赋活修护精粹凝乳80ml-zy
可复美,3,可复美重组胶原蛋白光奕律时修护精华霜50g/盒+胶原棒20支+大水膜1盒,1.19,319.25,2,[早P晚R-可复美王牌护肤礼盒]可复美重组胶原蛋白光奕律时修护精华霜50g/盒+胶原棒20支+大水膜1盒-ZY || [护肤甄选-可复美焦点面霜]可复美重组胶原蛋白光奕律时修护精华霜50g/盒-ZY
可复美,4,重组胶原蛋白抗皱紧致面霜修护暗沉舒缓保湿霜50g/瓶,1.0,287.42,1,[直播间专属][焦点面霜]重组胶原蛋白抗皱紧致面霜修护暗沉舒缓保湿霜50g/瓶zys
可丽金,1,可丽金重组胶原蛋白赋能紧致驻颜面膜 胶原抗皱套组 紧致淡纹 水润保湿,2.51,240.54,2,【七夕限时钜惠 胶原大膜王到手45件】可丽金重组胶原蛋白赋能紧致驻颜面膜 胶原抗皱套组 紧致淡纹 水润保湿 || 【周年庆抢先购 胶原大膜王到手45件】可丽金重组胶原蛋白赋能紧致驻颜面膜 胶原抗皱套组 紧致淡纹 水润保湿
