客户简称,消耗排名,清洗后商品名,消耗(万元),下单单价(元),合并原始条数,合并的原始DPA名称
林清轩,4,林清轩山茶花多肽重组胶原弹嫩精华水乳精华霜套组赠次抛精华,7.03,168.92,2,【直播专属】林清轩山茶花多肽重组胶原弹嫩精华水乳精华霜套组赠次抛精华 || 【直播专属】林清轩山茶花多肽重组胶原弹嫩精华水精华乳套组
林清轩,5,林清轩山茶花DNA钠臻修抗皱紧致悬油次抛精华液,5.95,183.75,2,【重磅新品】林清轩山茶花DNA钠臻修抗皱紧致悬油次抛精华液 || 【新客体验礼】林清轩山茶花DNA钠臻修抗皱悬油次抛精华液7支派样
林清轩,6,林清轩耀白淡斑抗皱双仓油养面膜美白修护抗皱舒缓,4.44,273.79,1,【直播专属】林清轩耀白淡斑抗皱双仓油养面膜美白修护抗皱舒缓
林清轩,7,林清轩爆款面膜套组,4.37,47.33,1,【新客体验礼】林清轩爆款面膜套组
林清轩,8,林清轩山茶花美白油敷面膜以油养白淡斑保湿提亮,3.88,209.94,2,【宠粉季】林清轩山茶花美白油敷面膜以油养白淡斑保湿提亮 || 【直播专属】林清轩山茶花美白油敷面膜以油养白淡斑保湿提亮
林清轩,9,林清轩超肽抗皱精华水125ml,3.37,61.24,1,【新人首单试用礼】林清轩超肽抗皱精华水125ml
林清轩,10,林清轩山茶花抗皱肽弹嫩精华水乳套装保湿滋养,2.9,44.63,1,【新客体验礼】林清轩山茶花抗皱肽弹嫩精华水乳套装保湿滋养
柳丝木,1,柳丝木黑茶卸妆膏眼唇易乳化清爽净卸不闷痘不辣眼,6.97,71.16,2,柳丝木黑茶卸妆膏眼唇易乳化清爽净卸不闷痘不辣眼DB || 柳丝木黑茶卸妆膏易乳化清爽净卸不辣眼不闷痘保湿
柳丝木,2,柳丝木黑茶卸妆油深层清洁敏肌温和养肤淡妆浓妆眼唇可卸不糊眼,3.28,73.01,1,[张月同款]柳丝木黑茶卸妆油深层清洁敏肌温和养肤淡妆浓妆眼唇可卸不糊眼GC
柳丝木,3,柳丝木黑茶绒脂卸妆膏新升级温和眼唇可卸不糊眼舒缓修护保湿,0.86,69.1,1,柳丝木黑茶绒脂卸妆膏新升级温和眼唇可卸不糊眼舒缓修护保湿
柳丝木,4,柳丝木水感保湿乳霜补水喷雾水油平衡养肤,0.58,74.63,1,柳丝木水感保湿乳霜补水喷雾水油平衡养肤
毛戈平,1,毛戈平光感美肌无痕粉膏粉底液7.5g*2遮瑕持妆通勤妆,33.59,384.93,3,【陈丽君同款】毛戈平光感美肌无痕粉膏粉底液7.5g*2遮瑕持妆通勤妆 || 【七夕专属】毛戈平光感美肌无痕粉膏粉底液7.5g*2遮瑕持妆通勤妆 || 毛戈平光感美肌无痕粉膏粉底液7.5g*2遮瑕持妆通勤妆
毛戈平,2,毛戈平柔纱幻颜单色腮红3.5g修容裸妆氛围哑光膨胀色修容奶杏色送礼美妆,0.85,340.53,1,【好气色】毛戈平柔纱幻颜单色腮红3.5g修容裸妆氛围哑光膨胀色修容奶杏色送礼美妆
玫瑰颂,1,志刚哥玫瑰颂玫瑰精华油 原产地精油紧致保湿舒缓抗皱,16.32,541.1,3,【玫瑰精华油】志刚哥 玫瑰颂玫瑰精华油原产地精油紧致保湿舒缓抗皱10ml || 【玫瑰精华油】志刚哥玫瑰颂玫瑰精华油 原产地精油紧致保湿舒缓抗皱10ml || 【拍一发八】志刚哥玫瑰颂玫瑰精华油 原产地精油紧致保湿舒缓抗皱10ml
玫瑰颂,2,志刚哥玫瑰颂齐鲁双花光感发酵面膜滋养修护抗皱紧致-过敏包退,9.61,488.1,2,【0防腐面膜】志刚哥玫瑰颂齐鲁双花光感发酵面膜滋养修护抗皱紧致-过敏包退 || 【双花面膜】志刚哥玫瑰颂齐鲁双花光感发酵面膜滋养修护抗皱紧致
玫瑰颂,3,志刚哥玫瑰颂美白祛斑精华油以油养肤水润保湿280mg*28粒,4.17,499.28,4,【玫瑰颂美白祛斑油】志刚哥玫瑰颂美白祛斑精华油以油养肤水润保湿280mg*28粒 || 【美白祛斑油】志刚哥玫瑰颂美白祛斑精华油以油养肤水润保湿280mg*28粒 || 【美白祛斑油/拍一发四】志刚哥玫瑰颂美白祛斑精华油以油养肤水润保湿280mg*28粒 || 【拍一发四】志刚哥玫瑰颂美白祛斑精华油以油养肤水润保湿280mg*28粒
玫瑰颂,4,玫瑰颂玫瑰眼部精华油淡纹抗皱紧致眼部淡化皱纹,1.5,536.18,1,【拍一发八】玫瑰颂玫瑰眼部精华油淡纹抗皱紧致眼部淡化皱纹5ml
玫瑰颂,5,志刚哥玫瑰颂玫瑰胶原悬油次抛精华液保湿抗皱紧致舒缓1.5ml*14支,1.38,532.12,1,【活胶原】志刚哥玫瑰颂玫瑰胶原悬油次抛精华液保湿抗皱紧致舒缓1.5ml*14支
玫好,1,玫瑰颂玫瑰精油纯露舒缓保湿纯露100ml,3.07,103.28,1,【拍1发3瓶】玫瑰颂玫瑰精油纯露舒缓保湿纯露100ml
梅晔生物科技(上海)有限公司,1,凌博士御凌焕颜紧塑次抛精华液肌因次抛精华全分子量玻尿酸3核糖链抗皱Z7备,17.47,378.51,2,【限时加赠美容仪】凌博士御凌焕颜紧塑次抛精华液肌因次抛精华全分子量玻尿酸3核糖链抗皱Z7备1 || 【限时加赠35g面霜】凌博士御凌焕颜紧塑次抛精华液肌因次抛精华全分子量玻尿酸3核糖链抗皱
美康粉黛,1,美康粉黛A+美白水感防晒精华乳透气清爽高倍防晒旗舰店学生出游户外,10.35,87.8,3,[八月狂欢季]美康粉黛A+美白水感防晒精华乳透气清爽高倍防晒旗舰店学生出游户外 || [八月出游季]美康粉黛美白水感防晒精华乳清爽不厚重高倍防晒旗舰店正品 || [八月狂欢季]美康粉黛A+美白水感防晒精华乳清爽不油腻高倍防晒旗舰店官方
美康粉黛,2,美康粉黛A+美白水感防晒精华乳高倍防晒SPF50+PA++++不假白不搓泥,3.29,87.32,1,[八月出游季]美康粉黛A+美白水感防晒精华乳高倍防晒SPF50+PA++++不假白不搓泥
美容家-每妍,1,帅楠 第五代淡皱抚纹紧致眼膜贴 改善眼部细纹深泪沟单品,16.78,113.78,2,帅楠（吕良伟代言）第五代淡皱抚纹紧致眼膜贴 改善眼部细纹深泪沟单品 || 帅楠（吕良伟代言）抚纹紧致眼膜贴 改善眼部细纹泪沟鱼尾纹LD
美容家-每妍,2,帅楠 第5代抚纹紧致胶原眼膜贴 改善皱纹眼袋眼部细纹泪沟鱼尾纹,8.39,110.79,1,帅楠（吕良伟代言）第5代抚纹紧致胶原眼膜贴 改善皱纹眼袋眼部细纹泪沟鱼尾纹
美容家,1,三重多肽抗皱紧致眼贴 14天真人实测 滋润眼周 淡化细纹,1.12,74.74,1,[多肽养肤]三重多肽抗皱紧致眼贴 14天真人实测 滋润眼周 淡化细纹
美尚,1,Colorkey珂拉琪升级版水感柔雾唇露学生显白口红保湿,36.92,88.05,1,【到手四支】Colorkey珂拉琪升级版水感柔雾唇露学生显白口红保湿
美尚,2,Colorkey珂拉琪水雾唇露不易沾唇釉裸色口红,2.57,84.65,2,[爆品推荐]Colorkey珂拉琪水雾唇露不易沾唇釉裸色口红zb || Colorkey珂拉琪水雾唇露升级不易沾杯唇釉裸色口红db
秘地,1,秘地小云岛香水自有引力无花果奶檀木质调持久留香女士香水送礼物,16.55,200.28,1,[明星同款 拍1享6]秘地小云岛香水自有引力无花果奶檀木质调持久留香女士香水送礼物
秘地,2,秘地小云岛香水自有引力 无花果奶檀柑橘玫瑰木质香调 男女通用 送礼礼物 | EDP30ml-ZG,14.6,194.06,1,秘地小云岛香水自有引力 无花果奶檀柑橘玫瑰木质香调 男女通用 送礼礼物 | EDP30ml-ZG
秘地,3,秘地小云岛香水|安全岛系列试香,0.67,112.73,1,秘地小云岛香水|安全岛系列试香体验装2ml
木柯诗,1,木柯诗双头唇釉哑光唇泥镜面水光精华显白口红一支四用不易沾杯,3.49,43.57,1,木柯诗双头唇釉哑光唇泥镜面水光精华显白口红一支四用不易沾杯
木柯诗,2,木柯诗爆水唇釉水绒光唇釉水丝绒唇釉裸色显白口红,1.82,40.98,1,[夏天新品]木柯诗爆水唇釉水绒光唇釉水丝绒唇釉裸色显白口红
慕可,1,WIS乳糖酸多效面膜软化角质温和无刺激保湿男女护肤,82.92,100.46,3,【明星同款】WIS乳糖酸多效面膜软化角质温和无刺激保湿男女护肤 || 【视频同款】WIS乳糖酸多效面膜软化角质温和无刺激保湿男女护肤 || 【新春好礼】WIS乳糖酸多效面膜软化角质温和无刺激保湿男女护肤可试用可体验
慕可,2,WIS深海精粹弹嫩次抛精华液 紧致抗皱 一次一抛鲜活锁鲜 深层补水,69.07,95.0,1,【官方正品】WIS深海精粹弹嫩次抛精华液 紧致抗皱 一次一抛鲜活锁鲜 深层补水
慕可,3,赫系轻盈洗发水护发素控油去屑蓬松留香五效合一洗护套装,57.74,60.31,2,【洗护套组】赫系轻盈洗发水护发素控油去屑蓬松留香五效合一洗护套装 || 赫系轻盈洗发水护发素控油蓬松清爽持久留香洗护套装
慕可,4,WIS肌活蛋白喷雾紧致饱满细腻肌肤锁水焕亮水润,50.06,111.75,2,【官方正品】WIS肌活蛋白喷雾紧致饱满细腻肌肤锁水焕亮水润 || 【官方正品】WIS肌活蛋白喷雾紧致饱满细腻肌肤锁水焕亮
慕可,5,WIS燕窝胜肽焕润面膜淡化深纹强韧修护保湿温和,35.72,122.96,3,【买一送一】WIS燕窝胜肽焕润面膜淡化深纹强韧修护保湿温和新品尝鲜 || 【明星同款】WIS燕窝胶原肽面膜淡化深纹强韧修护保湿温和新品尝鲜 || 【直播专属】WIS燕窝胜肽焕润面膜淡化深纹强韧修护保湿温和新品
慕可,6,WIS黑晶水光面膜 抗皱紧致保湿控油轻享 黑晶光蕴蓄能面膜,29.31,90.75,2,WIS黑晶水光面膜 抗皱紧致保湿控油轻享  黑晶光蕴蓄能面膜 || WIS微针水光面膜 抗皱紧致保湿控油轻享  黑晶光蕴蓄能面膜db
慕可,7,赫系防脱洗发水防脱丰盈护发蓬松持久留香大容量家庭套装,28.9,59.21,3,【拍下立减10元】赫系防脱洗发水防脱丰盈护发蓬松持久留香大容量家庭套装 || 赫系防脱洗发水防脱丰盈护发蓬松持久留香大容量家庭套装 || 赫系防脱洗发水防脱丰盈护发蓬松持久留香尝鲜装
慕可,8,赫系轻盈洗发水沐浴露护发素控油去屑香氛清爽三锌控油,28.38,60.45,1,【洗护套组】赫系轻盈洗发水沐浴露护发素控油去屑香氛清爽三锌控油
慕可,9,WIS隐形水润保湿舒缓修护面膜持久补水修护,25.39,113.27,3,【官方正品】WIS隐形水润保湿舒缓修护面膜持久补水修护wx || WIS隐形水润面膜保湿舒缓修护面膜补水修护男女护肤 || 【官方正品】WIS隐形水润保湿舒缓修护面膜持久补水修护套装db
慕可,10,WIS晶润紧致眼膜淡化细纹保湿抗皱弹嫩细腻眼周,24.5,95.19,2,【达人专属】WIS晶润紧致眼膜淡化细纹保湿抗皱 弹嫩细腻眼周 || 【官方正品】WIS晶润紧致眼膜淡化细纹保湿抗皱弹嫩细腻眼周
奈小白,1,舒适持久卷翘上镜还原自然嫁接感免胶假睫毛,14.5,90.83,4,【奈小白原创上贴式-灵尾狐】 舒适持久卷翘上镜还原自然嫁接感免胶假睫毛 || 【奈小白原创设计】舒适持久卷翘上镜还原自然嫁接感免胶假睫毛 || {奈小白原创上贴狐系}新手舒适持久卷翘上镜自然嫁接感免胶假睫毛 || {奈小白原创上贴式狐系}持久舒适卷翘上镜还原自然嫁接感免胶假睫毛
南雄市阳岚商贸商行(个体工商户),1,Soully晚风茉莉香水50ml高还原茉莉花香水持久留香淡香花香清新,41.72,82.57,1,Soully晚风茉莉香水50ml高还原茉莉花香水持久留香淡香花香清新
欧帝丝,1,假发抓夹式马尾少女梨花卷蓬松温柔抓夹造型哑光逼真自然长发发饰,1.2,37.29,1,假发抓夹式马尾少女梨花卷蓬松温柔抓夹造型哑光逼真自然长发发饰
欧莱加,1,欧莱加秋冬玫瑰柔雾不沾杯防水口红显白保湿雾面哑光版,15.17,51.46,1,[官方正品]欧莱加秋冬玫瑰柔雾不沾杯防水口红显白保湿雾面哑光版zb1
欧莱加,2,欧莱加夏日防水蚕丝蛋白柔雾不沾杯不掉色口红,5.44,52.84,1,[全新5.0升级]欧莱加夏日防水蚕丝蛋白柔雾不沾杯不掉色口红
欧莱加,3,欧莱加千人千色滋润保湿淡纹抗皱精华液护唇唇彩妆养合一,0.58,51.07,1,[明星陈莹同款]欧莱加千人千色滋润保湿淡纹抗皱精华液护唇唇彩妆养合一
欧诗漫,1,欧诗漫珍白因水乳精华面霜美白淡斑官方正品官方,4.59,254.13,3,[七夕送礼]欧诗漫珍白因水乳精华面霜美白淡斑官方正品官方dy || [官方推荐]欧诗漫珍白因水乳精华面霜美白淡斑护肤品正品官方dy || [美白淡斑]欧诗漫珍白因水乳精华面霜美白淡斑护肤品正品官方dy
欧诗漫,2,欧诗漫美白淡斑精华面膜4.0熬夜暗黄提亮淡斑补水,4.58,124.2,2,【达人专属】欧诗漫美白淡斑精华面膜4.0熬夜暗黄提亮淡斑补水koc || 欧诗漫美白淡斑面膜熬夜暗黄亮淡斑补水4.0官方限定款
欧诗漫,3,欧诗漫新品光玛吉时光素次抛精华液抗皱美白官方,0.88,276.2,1,[七夕送礼]欧诗漫新品光玛吉时光素次抛精华液抗皱美白官方dy
欧诗漫,4,欧诗漫美白淡斑面膜套组熬夜暗黄亮祛斑补水修护4.0正品官方,0.79,130.83,1,[618抢先购]欧诗漫美白淡斑面膜套组熬夜暗黄亮祛斑补水修护4.0正品官方
欧诗韵,1,阳阳正品：黄芪淡纹眼周肌肤紧致眼贴膜眼部精华油套装120片+3只滚珠精华,10.09,59.0,2,[拍一发五] 阳阳正品：黄芪淡纹眼周肌肤紧致眼贴膜眼部精华油套装120片+3只滚珠精华 || [拍一发五] 黄芪淡纹眼周肌肤紧致眼贴膜眼部精华油套装120片+3只滚珠精华：阳阳正品
欧诗韵,2,180片黄芪淡纹眼周肌肤紧致眼贴膜眼部精华油套装：阳阳,1.34,59.26,1,[拍一发三] 180片黄芪淡纹眼周肌肤紧致眼贴膜眼部精华油套装：阳阳正品
佩莱,1,RNW面膜男女嫩白补水保湿8D玻尿酸舒缓急救修护熬夜紧致改善肌肤,0.71,89.18,1,[3盒30片]RNW面膜男女嫩白补水保湿8D玻尿酸舒缓急救修护熬夜紧致改善肌肤
珀莱雅,1,珀莱雅红宝石水乳礼盒水乳面霜顺丰包邮送礼物节日礼盒,1.31,447.28,1,[全新升级]珀莱雅红宝石水乳礼盒水乳面霜顺丰包邮送礼物节日礼盒
起量,1,草安堂洗面奶清洁控油洁颜泡沫男女通用,5.3,70.85,1,【买一送一】草安堂洗面奶清洁控油洁颜泡沫男女通用S
起量,2,VC素颜霜五重维C自然美颜面部遮瑕持妆身体抗皱,3.77,171.22,3,【赵雅芝专属机制】VC素颜霜五重维C自然美颜面部遮瑕持妆身体抗皱4 zb2 || 【赵雅芝专属机制】VC素颜霜五重维C自然美颜面部遮瑕持妆身体抗皱4zb || 【赵雅芝专属机制】VC素颜霜五重维C自然美颜面部遮瑕持妆身体抗皱第四代zb2
起量,3,VC官方正品五重维C素颜霜 提亮抗皱保湿隔离自然美颜懒人素颜霜,3.49,158.46,2,VC官方正品五重维C素颜霜 提亮抗皱保湿隔离自然美颜懒人素颜霜SH || VC五重维C素颜霜提亮抗皱保湿隔离自然美颜懒人素颜霜STwxy6
起量,4,VC五重维C美白防晒素颜霜SPF50+ 妆前保湿打底修饰肤色,2.15,172.03,1,VC五重维C美白防晒素颜霜SPF50+ 妆前保湿打底修饰肤色ADQ2
起量,5,草安堂美白洗面奶洁面身体清洁控油提亮肤色持证亮肤男女氨基酸,0.86,74.06,1,草安堂美白洗面奶洁面身体清洁控油提亮肤色持证亮肤男女氨基酸A-ZB
起量,6,VC五重维C素颜霜 提亮抗皱遮瑕隔离自然美颜保湿,0.66,143.96,1,VC五重维C素颜霜 提亮抗皱遮瑕隔离自然美颜保湿STwxy
青岛春亭林文化传媒有限公司,1,双头唇线笔口红防水不沾杯口红+唇线笔哑光一笔两用肉桂奶茶色新手懒人,2.94,20.06,1,双头唇线笔口红防水不沾杯口红+唇线笔哑光一笔两用肉桂奶茶色新手懒人
青岛春亭林文化传媒有限公司,2,双头口红唇线笔哑光不沾杯不掉色肉桂色勾勒立体饱满素颜口红唇釉,2.29,19.99,1,双头口红唇线笔哑光不沾杯不掉色肉桂色勾勒立体饱满素颜口红唇釉
青岛春亭林文化传媒有限公司,3,TOUK双头口红唇线笔柔雾哑光一笔两重效不沾杯持久显色唇釉,2.0,20.0,1,TOUK双头口红唇线笔柔雾哑光一笔两重效不沾杯持久显色唇釉
青岛春亭林文化传媒有限公司,4,双头口红不沾杯哑光持久显色勾勒立体饱满唇线笔,0.63,20.02,1,双头口红不沾杯哑光持久显色勾勒立体饱满唇线笔
青岛市黄岛区澄禾商贸行(个体工商户),1,三色渐变懒人眼影棒一抹成型珠光细闪哑光显色适合新手,20.42,30.08,2,[一抹成型]三色渐变懒人眼影棒一抹成型珠光细闪哑光显色适合新手 || [一抹成型]三色渐变懒人眼影棒一抹成型珠光细闪哑光显色适合新手1
青岛市黄岛区澄禾商贸行(个体工商户),2,OULAIJIA/欧莱加三色渐变眼影棒一抹成型持妆防水防汗眼妆懒人必备,7.42,30.06,1,OULAIJIA/欧莱加三色渐变眼影棒一抹成型持妆防水防汗眼妆懒人必备4
青岛市黄岛区浅屿商贸部(个体工商户),1,官方正品马来西亚烟酰胺甘油精华液,0.77,66.94,1,【抗皱紧致】官方正品马来西亚烟酰胺甘油精华液
晴佳,1,哑光/ 雾面口红,1.26,49.86,1,哑光/ 雾面口红
仁和经销商,1,仁和匠心肝素钠眼霜,3.46,80.06,1,仁和匠心肝素钠眼霜
仁和经销商,2,专属加码福利-淡化干纹细纹 改善熬夜暗沉眼周,3.3,99.94,1,【拍一发五，4支仁和肝素钠眼霜下单赠送小熊化妆箱】专属加码福利-淡化干纹细纹 改善熬夜暗沉眼周
仁和经销商,3,仁和肝素钠眼霜淡化眼纹紧致抗皱改善熊猫眼熬夜人群,1.98,101.16,1,仁和肝素钠眼霜淡化眼纹紧致抗皱改善熊猫眼熬夜人群
三资堂,1,三资堂睫毛打底膏防水防汗纤长卷翘持久不晕染新手必备,118.72,50.45,6,【明星网红同款】三资堂睫毛打底膏防水防汗纤长卷翘持久不晕染新手必备 || 【网红痞幼同款】三资堂睫毛打底膏防水防汗纤长卷翘持久不晕染新手必备 || 【明星孙怡同款】三资堂睫毛打底膏防水防汗立体卷翘新手小白必备 || 【明星赵荀同款】三资堂睫毛打底膏防水防汗立体卷翘新手小白必备 || 【明星徐璐同款】三资堂睫毛打底膏防水防汗纤长卷翘持久不晕染打底定型新手必备 || 【明星赵荀同款】三资堂睫毛打底膏防水防汗纤长卷翘持久不晕染打底定型新手必备
三资堂,2,三资堂快遮笔遮瑕液持久轻薄提亮美颜无瑕防水遮盖斑点黑眼圈,77.72,79.9,1,【明星何泓姗同款】三资堂快遮笔遮瑕液持久轻薄提亮美颜无瑕防水遮盖斑点黑眼圈
三资堂,3,三资堂二叉弯头眉笔防水防汗不掉色持妆新手眼妆必备,77.52,50.23,3,【明星罗正推荐】三资堂二叉弯头眉笔防水防汗不掉色持妆新手眼妆必备 || 【明星网红同款】三资堂二叉弯头眉笔防水防汗不掉色持妆新手眼妆必备 || 【网红痞幼同款】三资堂二叉弯头眉笔防水防汗不掉色持妆新手眼妆必备
三资堂,4,三资堂染眉膏防水防汗持久不掉色柔雾眉新手眼妆必备推荐,6.58,50.94,2,【明星何泓姗同款】三资堂染眉膏防水防汗持久不掉色柔雾眉新手眼妆必备推荐 || 【明星网红同款】三资堂染眉膏防水防汗不掉色持久柔雾眉手残党必备
三资堂,5,三资堂杠铃睫毛膏浓密卷翘防水持久纤长不晕染新手必备,6.46,63.14,2,【明星孙怡同款】三资堂杠铃睫毛膏浓密卷翘防水持久纤长不晕染新手必备 || 【明星孙怡同款】三资堂杠铃双头睫毛膏浓密卷翘防水持久纤长不晕染新手化妆必备
三资堂,6,防水防汗不掉色持久推荐正品极细二叉新手必备,1.89,43.29,1,【三资堂直头眉笔】防水防汗不掉色持久推荐正品极细二叉新手必备DB
厦门VC,1,草安堂洗面奶清洁控油洁颜泡沫男女通用,5.04,70.78,1,【买一送一】草安堂洗面奶清洁控油洁颜泡沫男女通用S
厦门VC,2,洗面奶 男女通用保湿洗面奶烟酰胺净肤,1.08,60.73,1,【明星推荐】洗面奶 男女通用保湿洗面奶烟酰胺净肤A
厦门VC,3,VC素颜霜五重维C自然美颜面部遮瑕持妆身体抗皱,0.99,170.57,1,【赵雅芝专属机制】VC素颜霜五重维C自然美颜面部遮瑕持妆身体抗皱4zb
厦门VC,4,VC五重维C美白防晒素颜霜SPF50+ 妆前保湿打底修饰肤色,0.72,178.45,1,VC五重维C美白防晒素颜霜SPF50+ 妆前保湿打底修饰肤色ADQ2
厦门VC,5,VC五重维C素颜霜提亮抗皱保湿隔离自然美颜懒人素颜霜,0.56,153.7,1,VC五重维C素颜霜提亮抗皱保湿隔离自然美颜懒人素颜霜STwxy6
上海家化,1,佰草集新七白美白透亮大白泥面膜500g大白泥面膜3.0升级版官方正品 持证美白祛斑去角质涂抹泥膜保湿补水,27.78,208.04,4,【七夕限定专享】佰草集新七白美白透亮大白泥面膜500g大白泥面膜3.0升级版官方正品 持证美白祛斑去角质涂抹泥膜保湿补水 || 【暑期美白专享】佰草集新七白美白透亮大白泥面膜500g大白泥面膜3.0升级版官方正品 持证美白祛斑去角质涂抹泥膜保湿补水 || 【周年庆专享】佰草集新七白美白透亮大白泥面膜500g大白泥面膜3.0升级版官方正品 持证美白祛斑去角质涂抹泥膜保湿补水 || [官方正品]佰草集新七白美白透亮白泥面膜500g   大白泥面膜3.0升级版  持证美白祛斑去角质涂抹泥膜
上海家化,2,玉泽第二代屏障修护舒缓青蒿面霜全新升级干油敏面霜,4.84,313.02,1,[青蒿修护面霜领导者]玉泽第二代屏障修护舒缓青蒿面霜全新升级干油敏面霜
上海家化,3,佰草集新七白美白透亮白泥面膜 持证美白祛斑去角质涂抹面膜,2.67,204.78,1,【官方正品】佰草集新七白美白透亮白泥面膜 持证美白祛斑去角质涂抹面膜
上海家化,4,玉泽皮肤屏障修护专研次抛精华液1.5ML*30支屏障修护保湿,2.28,336.42,1,玉泽皮肤屏障修护专研次抛精华液1.5ML*30支屏障修护保湿
上海家化,5,佰草集新七白凝脂焕亮精华油 抗氧减黄修护保湿紧致舒缓,1.96,238.98,1,[官方正品]佰草集新七白凝脂焕亮精华油 抗氧减黄修护保湿紧致舒缓
上海信及豚鱼科技集团有限公司,1,蒂洛薇恒瓷沁润保湿粉膏持妆遮瑕旅行装dbt 支持7天无理由退货,21.44,194.71,4,【限时礼赠】蒂洛薇恒瓷沁润保湿粉膏持妆遮瑕旅行装dbt  支持7天无理由退货(拆封后不支持) || 【3.0 保湿肽】蒂洛薇恒瓷沁润保湿粉膏持妆遮瑕替换芯dbt  支持7天无理由（不可拆封） || 【周年好物】蒂洛薇恒瓷沁润保湿粉膏持妆遮瑕旅行装dbt || 【限时礼赠】蒂洛薇恒瓷沁润保湿粉膏持妆遮瑕替换装dbt  支持7天无理由退货(拆封后不支持)
上海信及豚鱼科技集团有限公司,2,蒂洛薇水晶遮瑕持妆气垫保湿肽持妆防水,12.78,171.51,3,【3.0 保湿肽】蒂洛薇水晶遮瑕持妆气垫保湿肽持妆防水DBt || 【3.0 高遮瑕】蒂洛薇水晶遮瑕持妆气垫保湿肽持妆防水DBt || 【周年好物】Dirovo水晶遮瑕持妆气垫保湿肽持妆防水DBt
上海信及豚鱼科技集团有限公司,3,Dirovo蒂洛薇云雾水散粉控油持久不脱妆DB 支持7天无理由退货,5.92,100.51,3,【3.0 水活肽】Dirovo蒂洛薇云雾水散粉控油持久不脱妆DB 支持7天无理由退货(拆封后不支持) || 【3.0 水活肽】Dirovo蒂洛薇云雾触感水散粉控油持久不脱妆DB || 蒂洛薇持妆云雾水散粉控油保湿DB  支持7天无理由退货(拆封后不支持)
上海信及豚鱼科技集团有限公司,4,Dirovo 蒂洛薇高定宝石乳霜粉饼遮瑕补妆,1.38,159.33,1,Dirovo 蒂洛薇高定宝石乳霜粉饼遮瑕补妆
上海信及豚鱼科技集团有限公司,5,蒂洛薇3.0水晶遮瑕气垫保湿肽滋润持久控油bb霜防水DBt 支持7天无理由退货,1.22,168.62,1,【周年庆】蒂洛薇3.0水晶遮瑕气垫保湿肽滋润持久控油bb霜防水DBt  支持7天无理由退货(拆封后不支持)
上海垣酷贸易有限公司,1,黛莱皙蜂皇浆胶原抗皱保湿精华水七夕节送礼猫七七,3.47,116.69,2,[到手4瓶]黛莱皙蜂皇浆胶原抗皱保湿精华水七夕节送礼猫七七 || [到手4瓶]黛莱皙猫七七蜂皇浆胶原抗皱保湿精华水送礼Y
上海垣酷贸易有限公司,2,黛莱皙肌源赋活面贴膜美白祛斑去黄面膜补水到手5盒,0.76,95.9,1,[美白]黛莱皙肌源赋活面贴膜美白祛斑去黄面膜补水到手5盒
上海垣酷贸易有限公司,3,黛莱皙美白防晒精华霜防晒霜猫七七阿姨推荐正品美白肌肤SPF50+PA++++,0.63,79.98,1,[到手2支]黛莱皙美白防晒精华霜防晒霜猫七七阿姨推荐正品美白肌肤SPF50+PA++++
上海垣酷贸易有限公司,4,黛莱皙胶原御龄紧致精华乳保湿乳液润弹皱纹弹嫩,0.63,89.11,1,[抗皱保湿]黛莱皙胶原御龄紧致精华乳保湿乳液润弹皱纹弹嫩
圣雪兰,1,二裂酵母多效抗皱面霜,0.61,113.4,1,二裂酵母多效抗皱面霜
诗馨语,1,诗馨语黑眼圈遮瑕膏遮黑眼圈斑点瑕疵法令纹泪沟痘印自然服帖不脱妆不卡粉适用干油皮二,52.27,50.15,6,【官方旗舰】诗馨语黑眼圈遮瑕膏遮黑眼圈斑点瑕疵法令纹泪沟痘印自然服帖不脱妆不卡粉适用干油皮二 || 诗馨语黑眼圈双色遮瑕膏遮黑眼圈斑点瑕疵法令纹泪沟痘印不脱妆不卡粉新手推荐干油皮自然服帖 || 【官方正品】诗馨语黑眼圈遮瑕膏遮黑眼圈斑点瑕疵法令纹泪沟痘印不脱妆不卡粉新手推荐干油皮自然服帖 || 【官方旗舰】诗馨语黑眼圈遮瑕膏遮黑眼圈斑点法令纹泪沟痘印自然服帖不脱妆干油皮一 || 诗馨语黑眼圈遮瑕膏遮黑眼圈斑点法令纹泪沟痘印自然服帖不卡粉不脱妆干油皮 || 【官方旗舰】诗馨语黑眼圈遮瑕膏遮黑眼圈斑点瑕疵法令纹泪沟痘印自然服帖不脱妆新手推荐干油皮二
诗馨语,2,诗馨语液体修容棒哑光高光阴影腮红提亮面部凹陷鼻影眼影侧影自然服帖不卡粉不脱妆,6.04,55.04,3,诗馨语液体修容棒哑光高光阴影腮红提亮面部凹陷鼻影眼影侧影自然服帖不卡粉不脱妆 || 【官方旗舰】诗馨语液体修容棒哑光高光阴影腮红提亮面部凹陷鼻影眼影侧影服帖不卡粉不脱妆 || 【官方正品】诗馨语液体修容棒哑光高光阴影腮红提亮面部凹陷鼻影眼影侧影服帖不卡粉一
拾伍,1,3盒水光+仪器,76.28,489.71,1,【.复合肽水光焕能液】3盒水光+仪器
拾伍,2,梵芙尼活胶原抗皱紧致冻干絮+活胶原抗皱紧致焕能液,54.59,157.16,1,【阳阳-活胶原】（正装四套共24瓶）梵芙尼活胶原抗皱紧致冻干絮+活胶原抗皱紧致焕能液
